Date,compound,neg,neu,pos,Close,Y-ENN
3-Jan-11,-0.8934,0.172,0.746,0.08199999999999999,119.49,114.11847327443787
4-Jan-11,-0.6996,0.133,0.8059999999999999,0.06,121.87,114.31220139362732
5-Jan-11,-0.9442,0.319,0.638,0.044000000000000004,124.93,115.12423118243024
6-Jan-11,-0.7906,0.179,0.726,0.094,124.98,113.98757569355196
7-Jan-11,-0.5859,0.14,0.7659999999999999,0.094,124.99,113.84860895889908
10-Jan-11,-0.9723,0.272,0.667,0.062,123.56,114.75425083080582
11-Jan-11,-0.9578,0.225,0.674,0.10099999999999999,123.01,114.05230979424645
12-Jan-11,-0.3818,0.125,0.757,0.11800000000000001,127.87,113.40454409771999
13-Jan-11,-0.7184,0.121,0.7829999999999999,0.096,127.6,113.7015241140899
14-Jan-11,-0.872,0.154,0.7709999999999999,0.07400000000000001,126.7,114.16043990881467
17-Jan-11,-0.5994,0.14300000000000002,0.752,0.10400000000000001,126.79,113.69587838354887
18-Jan-11,-0.7506,0.16699999999999998,0.7759999999999999,0.057,125.58,114.48679475316371
19-Jan-11,-0.765,0.142,0.784,0.07400000000000001,124.49,114.13296065945615
20-Jan-11,-0.875,0.162,0.787,0.051,123.03,114.52046303051253
21-Jan-11,-0.8689,0.124,0.835,0.040999999999999995,123.8,114.50888795302268
24-Jan-11,-0.8316,0.134,0.7859999999999999,0.08,123.58,113.99352299531142
25-Jan-11,-0.6486,0.11,0.812,0.077,123.5,113.96147536565412
26-Jan-11,-0.9201,0.203,0.755,0.042,122.16,114.78024255833665
27-Jan-11,-0.9172,0.193,0.774,0.032,123.62,114.87041044822097
28-Jan-11,-0.9359999999999999,0.209,0.735,0.055999999999999994,123.82,114.61673805871345
31-Jan-11,-0.9153,0.16399999999999998,0.7390000000000001,0.09699999999999999,123.04,113.85404309987143
1-Feb-11,-0.9628,0.16699999999999998,0.769,0.064,122.33,114.34051753350597
2-Feb-11,-0.9744,0.23800000000000002,0.715,0.046,124.71,114.83440866694876
3-Feb-11,-0.9568,0.191,0.768,0.040999999999999995,124.03,114.74086679805065
4-Feb-11,-0.9590000000000001,0.18100000000000002,0.792,0.027999999999999997,124.37,114.87151559685643
7-Feb-11,-0.9128,0.198,0.7340000000000001,0.067,124.86,114.4308247879806
8-Feb-11,-0.9081,0.135,0.81,0.055,124.93,114.3488353044224
9-Feb-11,-0.9823,0.27899999999999997,0.6579999999999999,0.062,123.48,114.77136396482193
10-Feb-11,-0.9531,0.18100000000000002,0.777,0.040999999999999995,123.13,114.70369565016519
11-Feb-11,-0.93,0.22699999999999998,0.679,0.095,122.15,114.15523238283873
14-Feb-11,-0.8074,0.16,0.7120000000000001,0.128,122.15,113.35454727269887
15-Feb-11,-0.9658,0.14800000000000002,0.8140000000000001,0.038,123.28,114.61947414891087
17-Feb-11,-0.9802,0.19699999999999998,0.8029999999999999,0.0,124.96,115.24943146373813
18-Feb-11,-0.29600000000000004,0.085,0.855,0.06,123.16,114.18458645959123
21-Feb-11,-0.9413,0.133,0.8240000000000001,0.043,121.73,114.50001385339024
22-Feb-11,-0.4019,0.10800000000000001,0.792,0.1,119.25,113.62253291398807
23-Feb-11,-0.9118,0.14800000000000002,0.784,0.068,117.77,114.21644120906089
24-Feb-11,-0.9836,0.23,0.701,0.07,118.79,114.49990708179682
25-Feb-11,-0.9489,0.172,0.7559999999999999,0.07200000000000001,116.74,114.25122753868962
28-Feb-11,-0.9601,0.129,0.846,0.025,119.2,114.7206215896694
1-Mar-11,-0.9287,0.17800000000000002,0.6990000000000001,0.12300000000000001,122.15,113.5084275980225
2-Mar-11,-0.8169,0.129,0.778,0.09300000000000001,122.18,113.77122664309161
3-Mar-11,-0.9732,0.18899999999999997,0.74,0.071,123.0,114.3287876673232
4-Mar-11,-0.9590000000000001,0.213,0.691,0.095,129.14,114.08648024723779
7-Mar-11,-0.9747,0.2,0.7440000000000001,0.055999999999999994,127.15,114.57402114896013
8-Mar-11,-0.9911,0.27899999999999997,0.6559999999999999,0.065,126.59,114.73360030717821
9-Mar-11,-0.9774,0.225,0.7340000000000001,0.040999999999999995,127.76,114.85352857563286
10-Mar-11,-0.9661,0.172,0.777,0.05,126.7,114.54842903769736
11-Mar-11,-0.6597,0.17,0.716,0.115,127.84,113.64427000226651
